"slide","order","relationship_id","source","saved_as","bytes"
"1","1","rId8","ppt/media/image8.svg","assets/official-pptx-icons/slide-01/01-image8.svg","1552"
"1","2","rId6","ppt/media/image6.svg","assets/official-pptx-icons/slide-01/02-image6.svg","8485"
"1","3","rId4","ppt/media/image4.svg","assets/official-pptx-icons/slide-01/03-image4.svg","8007"
"1","4","rId24","ppt/media/image24.svg","assets/official-pptx-icons/slide-01/04-image24.svg","26082"
"1","5","rId22","ppt/media/image22.svg","assets/official-pptx-icons/slide-01/05-image22.svg","628"
"1","6","rId20","ppt/media/image20.svg","assets/official-pptx-icons/slide-01/06-image20.svg","1741"
"1","7","rId2","ppt/media/image2.svg","assets/official-pptx-icons/slide-01/07-image2.svg","8777"
"1","8","rId18","ppt/media/image18.svg","assets/official-pptx-icons/slide-01/08-image18.svg","1408"
"1","9","rId16","ppt/media/image16.svg","assets/official-pptx-icons/slide-01/09-image16.svg","1742"
"1","10","rId14","ppt/media/image14.svg","assets/official-pptx-icons/slide-01/10-image14.svg","1462"
"1","11","rId12","ppt/media/image12.svg","assets/official-pptx-icons/slide-01/11-image12.svg","2433"
"1","12","rId10","ppt/media/image10.svg","assets/official-pptx-icons/slide-01/12-image10.svg","3462"
"2","1","rId8","ppt/media/image32.svg","assets/official-pptx-icons/slide-02/01-image32.svg","2508"
"2","2","rId6","ppt/media/image30.svg","assets/official-pptx-icons/slide-02/02-image30.svg","17639"
"2","3","rId4","ppt/media/image28.svg","assets/official-pptx-icons/slide-02/03-image28.svg","17309"
"2","4","rId24","ppt/media/image48.svg","assets/official-pptx-icons/slide-02/04-image48.svg","59812"
"2","5","rId22","ppt/media/image46.svg","assets/official-pptx-icons/slide-02/05-image46.svg","1156"
"2","6","rId20","ppt/media/image44.svg","assets/official-pptx-icons/slide-02/06-image44.svg","2372"
"2","7","rId2","ppt/media/image26.svg","assets/official-pptx-icons/slide-02/07-image26.svg","18472"
"2","8","rId18","ppt/media/image42.svg","assets/official-pptx-icons/slide-02/08-image42.svg","2618"
"2","9","rId16","ppt/media/image40.svg","assets/official-pptx-icons/slide-02/09-image40.svg","3194"
"2","10","rId14","ppt/media/image38.svg","assets/official-pptx-icons/slide-02/10-image38.svg","2506"
"2","11","rId12","ppt/media/image36.svg","assets/official-pptx-icons/slide-02/11-image36.svg","3129"
"2","12","rId10","ppt/media/image34.svg","assets/official-pptx-icons/slide-02/12-image34.svg","5729"
"3","1","rId8","ppt/media/image56.svg","assets/official-pptx-icons/slide-03/01-image56.svg","2508"
"3","2","rId6","ppt/media/image54.svg","assets/official-pptx-icons/slide-03/02-image54.svg","17639"
